Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult,TimeB,BaroB
30:50.3,0.00354124,0.001314123,-0.011356008,-0.018879092,-0.004492057,0.017816473,0.058084463,-0.062918815,-0.278948165,1008.38,1,1,30:50.3,1009.04
30:51.8,-0.786987166,26.43232363,23.23027733,-16.88853724,-25.52825756,21.33624011,37.1381334,-24.5002922,-54.0754545,1008.36,1,1,30:51.3,1009.01
30:52.8,484.770255,240.320699,49.18426657,201.4093495,452.5737169,399.0798651,63.43175819,-165.9667883,-79.49782971,1008.39,1,1,30:52.4,1008.98
30:53.8,457.7943443,224.5510268,74.15683793,227.7505935,450.8009086,390.6478106,72.21089702,-149.0841764,-72.66866931,1008.36,1,1,30:53.3,1009.01
30:54.9,457.8104983,224.5642763,74.15617311,227.7375075,450.7863461,390.6402095,72.21018647,-149.0826654,-72.66823424,1008.42,1,1,30:54.3,1009.01
30:55.8,457.7953072,224.5523518,74.15689821,227.7497266,450.8006953,390.6487966,72.21138612,-149.0858583,-72.67076443,1008.37,1,1,30:55.4,1009.02
30:56.8,457.8246217,224.5709697,74.15728663,227.7437884,450.800234,390.6516878,72.21141887,-149.0871128,-72.66959374,1008.39,1,1,30:56.3,1009.04
30:57.8,457.7996746,224.5542302,74.15786014,227.7527796,450.8056708,390.6522463,72.21153435,-149.0866923,-72.67023547,1008.39,1,1,30:57.4,1008.99
30:58.8,457.809,224.5578929,74.15745898,227.7566413,450.8151022,390.6593376,72.21167726,-149.0888332,-72.66978522,1008.41,1,1,30:58.3,1009.03
30:59.8,457.8092713,224.5635567,74.15792517,227.7408575,450.7901064,390.6439178,72.21217333,-149.0840168,-72.67043856,1008.36,1,1,30:59.3,1009
31:00.8,457.8195475,224.5653324,74.15716334,227.7517251,450.8108338,390.6572357,72.2107682,-149.088794,-72.66914114,1008.36,1,1,31:00.4,1009.02
31:01.8,457.7949357,224.5523611,74.15697293,227.7479325,450.7966133,390.644713,72.21032333,-149.0833455,-72.66819022,1008.39,1,1,31:01.4,1009.02
31:02.9,457.7953705,224.5511997,74.1567093,227.7528644,450.8056942,390.6516963,72.21118797,-149.0862765,-72.66981447,1008.34,1,1,31:02.4,1009.04
31:03.9,457.8101219,224.5603842,74.15697851,227.7503551,450.8058581,390.6529363,72.21076582,-149.0866595,-72.66851982,1008.39,1,1,31:03.4,1009.04
31:05.2,457.7848991,224.5427475,74.15752994,227.7618365,450.8155651,390.6568868,72.21162434,-149.0874384,-72.67007651,1008.42,1,1,31:04.3,1009.03
31:05.8,457.8089032,224.5588254,74.15823734,227.7558133,450.8139005,390.6600321,72.21329639,-149.0892769,-72.67152337,1008.42,1,1,31:05.5,1008.99
31:06.8,457.822914,224.5683869,74.15864041,227.750651,450.8093054,390.6581342,72.21291417,-149.0889846,-72.67102646,1008.36,1,1,31:06.4,1009.02
31:07.8,457.8241132,224.572357,74.15782351,227.7388011,450.7910295,390.6450451,72.21097314,-149.0845972,-72.66880094,1008.37,1,1,31:07.3,1009.01
31:08.8,457.7951475,224.5505755,74.15689124,227.7540757,450.8066783,390.6513476,72.21029368,-149.0860919,-72.6689415,1008.38,1,1,31:08.3,1009.01
31:09.8,457.8000135,224.5549374,74.15674575,227.7490546,450.80085,390.6488157,72.21102628,-149.0850674,-72.66910316,1008.39,1,1,31:09.4,1009.02
31:10.8,457.8049495,224.558408,74.15711529,227.7479445,450.8006019,390.6496515,72.21141892,-149.0858406,-72.66985877,1008.35,1,1,31:10.4,1008.99
31:11.8,457.8097114,224.559618,74.15666584,227.7508544,450.8063738,390.6526548,72.21023916,-149.0864445,-72.66805633,1008.36,1,1,31:11.4,1009.04
31:12.8,457.7907047,224.5507789,74.15658276,227.7453014,450.7917624,390.6413135,72.21027019,-149.0823064,-72.6683616,1008.38,1,1,31:12.4,1008.99
31:13.8,457.7952336,224.5487159,74.15632273,227.7593005,450.8159345,390.6577953,72.21076756,-149.0880681,-72.66923859,1008.37,1,1,31:13.4,1009.01
31:14.8,457.8048651,224.5598693,74.15674428,227.7420003,450.7910539,390.6428444,72.21084434,-149.0829326,-72.66843329,1008.4,1,1,31:14.4,1009.02
31:15.8,457.8002913,224.5554698,74.15696535,227.7488826,450.8008328,390.6493175,72.21131309,-149.0859194,-72.67025084,1008.37,1,1,31:15.4,1009.01
31:16.8,457.814615,224.5633725,74.15719427,227.7493622,450.8056692,390.6537004,72.21119344,-149.0872759,-72.66930828,1008.42,1,1,31:16.7,1008.95
31:17.8,457.7989325,224.5540557,74.15706381,227.7497404,450.8009537,390.6486813,72.21121801,-149.0849585,-72.66952914,1008.36,1,1,31:17.4,1008.95
31:18.9,457.8249829,224.5758105,74.15568061,227.7255945,450.7721138,390.6320039,72.20941297,-149.0801127,-72.6670988,1008.4,1,1,31:18.3,1009.01
31:20.3,457.7966061,224.5584505,74.15577758,227.7312647,450.7725709,390.6298033,72.2096509,-149.0799433,-72.66937267,1008.36,1,1,31:19.3,1009.02
31:20.9,457.8160867,224.5651446,74.15615027,227.7455297,450.8013815,390.6509279,72.21028643,-149.0872281,-72.66937879,1008.36,1,1,31:20.4,1009.03
31:22.3,457.7951654,224.5507416,74.15705431,227.7539787,450.806486,390.6514122,72.21059654,-149.0858327,-72.66879603,1008.35,1,1,31:21.3,1009.03
31:22.9,457.7952621,224.54977,74.15675671,227.7566812,450.811177,390.6544988,72.21069143,-149.0865676,-72.66848962,1008.35,1,1,31:21.4,1009.02
31:23.8,457.7901571,224.5463298,74.15663346,227.7578687,450.811323,390.6537658,72.21054022,-149.0859188,-72.66811425,1008.41,1,1,31:22.4,1009
31:24.8,457.7897428,224.5476402,74.15693374,227.7540478,450.8054768,390.6511209,72.21173402,-149.0854382,-72.66988899,1008.43,1,1,31:23.3,1009
31:26.2,457.8191614,224.5690111,74.15764465,227.741252,450.7946521,390.6485636,72.21266294,-149.0860805,-72.67118539,1008.41,1,1,31:24.3,1008.99
31:26.8,457.8288309,224.5748306,74.15797211,227.7402864,450.7954034,390.6494133,72.2119138,-149.0868239,-72.67062874,1008.41,1,1,31:25.3,1009
31:27.8,457.8191628,224.5695573,74.15787477,227.7394474,450.7908879,390.645133,72.21158384,-149.0851378,-72.67042099,1008.4,1,1,31:26.4,1008.98
31:28.8,457.8193213,224.5683289,74.15731768,227.7424235,450.7960485,390.6481151,72.21114695,-149.0860049,-72.66988413,1008.38,1,1,31:27.4,1008.98
31:29.8,457.8147333,224.5669256,74.15675695,227.7374088,450.7867705,390.6409051,72.21031394,-149.0831532,-72.66865091,1008.41,1,1,31:27.5,1009.01
31:30.8,457.8054255,224.5616267,74.15682254,227.7386263,450.7863588,390.6405139,72.21102553,-149.0834059,-72.67022509,1008.38,1,1,31:28.4,1009.01
31:31.8,457.8199865,224.5679069,74.15707774,227.7450293,450.8009159,390.651478,72.21112792,-149.0872526,-72.66988226,1008.37,1,1,31:29.5,1008.99
31:32.9,457.8045732,224.5574741,74.15701685,227.749122,450.8016463,390.6491902,72.2104682,-149.0852833,-72.66855941,1008.36,1,1,31:29.5,1008.99
31:33.8,457.8003357,224.5564513,74.15612252,227.7434117,450.7920667,390.6422197,72.20985892,-149.0827236,-72.6677741,1008.36,1,1,31:30.4,1008.99
31:34.8,457.7959321,224.5535444,74.15560612,227.7440867,450.7923109,390.6417888,72.20953036,-149.0826779,-72.6677855,1008.34,1,1,31:31.9,1008.99
31:35.8,457.7961842,224.5534216,74.15523738,227.7441272,450.7926158,390.6415868,72.20903354,-149.0824282,-72.66702589,1008.32,1,1,31:32.3,1008.98
