Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult,TimeB,BaroB
24:15.9,-0.001173855,0.004634884,0.012505688,-0.005644375,-0.048019438,-0.05269613,0.101059329,0.11766431,-0.303449881,1008.15,1,1,24:15.8,1008.7
24:16.9,-0.918083329,27.07123123,23.4474781,-17.76517826,-25.84895256,22.81580539,38.0910429,-26.8241632,-57.29574622,1008.19,1,1,24:16.8,1008.7
24:17.9,482.7529299,244.1231472,49.72004972,198.5932401,451.8562997,401.6799017,64.60898362,-169.1255818,-82.94377524,1008.15,1,1,24:17.8,1008.69
24:18.9,455.2291244,227.61471,74.33662203,224.9675204,450.1962188,393.2889262,73.38448811,-152.2533795,-76.11578384,1008.17,1,1,24:18.8,1008.7
24:19.9,455.2094127,227.6031539,74.33671702,224.9688681,450.1917556,393.2836721,73.38436695,-152.2511833,-76.1160868,1008.15,1,1,24:19.9,1008.7
24:21.0,455.2196665,227.6086355,74.33631932,224.9694317,450.1965146,393.2879297,73.38424417,-152.2528878,-76.11578516,1008.16,1,1,24:20.8,1008.67
24:21.9,455.2093204,227.6016571,74.33618139,224.9720056,450.1969244,393.2865057,73.38391422,-152.2517817,-76.11529982,1008.16,1,1,24:21.8,1008.64
24:22.9,455.2145604,227.6075333,74.33533864,224.961321,450.1823456,393.2773415,73.38327557,-152.2487761,-76.11445533,1008.12,1,1,24:22.9,1008.68
24:24.0,455.2160526,227.6111555,74.33455443,224.9518571,450.168506,393.2679115,73.38195882,-152.2461015,-76.11344842,1008.12,1,1,24:23.8,1008.69
24:24.9,455.1966907,227.594831,74.33427894,224.9683191,450.1886596,393.2785579,73.38180092,-152.2492936,-76.11389701,1008.15,1,1,24:24.8,1008.67
24:25.9,455.1957676,227.5935913,74.33466769,224.9710181,450.1925331,393.2817267,73.38301511,-152.2498237,-76.11454137,1008.16,1,1,24:25.8,1008.67
24:26.9,455.2103431,227.6051523,74.33507456,224.9615902,450.1821446,393.277186,73.38350305,-152.2488665,-76.11494769,1008.13,1,1,24:26.9,1008.66
24:27.9,455.2154944,227.6078946,74.33479497,224.9612516,450.1830149,393.2774,73.38242938,-152.2491051,-76.11388567,1008.16,1,1,24:27.8,1008.72
24:28.9,455.2011429,227.6006263,74.33538713,224.9606579,450.1776056,393.2733671,73.3834256,-152.2479197,-76.1156071,1008.18,1,1,24:28.9,1008.7
24:30.0,455.2149928,227.6041167,74.33626496,224.9759392,450.2059979,393.2943159,73.38492311,-152.2554376,-76.11728722,1008.19,1,1,24:29.8,1008.73
24:30.9,455.2237518,227.6123149,74.3378436,224.968317,450.1952816,393.2890978,73.38615005,-152.2535675,-76.11777837,1008.19,1,1,24:30.8,1008.74
24:31.9,455.2284491,227.6126501,74.33849829,224.9768973,450.2099289,393.2993751,73.3865792,-152.2574649,-76.11864311,1008.17,1,1,24:31.8,1008.73
