Time	GyroX	GyroY	GyroZ	AcceX	AcceY	AcceZ	MagnX	MagnY	MagnZ	Baro	Result	TrueResult
0.026457176	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.07	1	1
0.02646875	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.05	1	1
0.026480324	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.12	1	1
0.026491898	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.05	1	1
0.026503472	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.07	1	1
0.026515046	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.11	1	1
0.02652662	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.08	1	1
0.026538194	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.06	1	1
0.026549769	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.04	1	1
0.026561343	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.08	1	1
0.026572917	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.09	1	1
0.026584491	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.08	1	1
0.026597222	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.13	1	1
0.026607639	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.11	1	1
0.026619213	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.08	1	1
0.026630787	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.07	1	1
0.026642361	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.07	1	1
0.026653935	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.07	1	1
0.026665509	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.09	1	1
0.026677083	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.07	1	1
0.026688657	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.07	1	1
0.026700231	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.06	1	1
0.026711806	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.09	1	1
0.026722222	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.07	1	1
0.026734954	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.08	1	1
0.026746528	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.12	1	1
0.026758102	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.1	1	1
0.026769676	1.52	-1.11	0.78	0.93	-0.26	0.31	29.68	1.65	107.63	1008.11	1	1
