Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult,TimeB,BaroB
17:37.3,0.001137638,0.002424444,0.000877848,-0.004599548,-0.009814932,-0.009188462,0.014478206,0.026529591,-0.114644482,1008.51,1,1,17:37.4,1009.08
17:38.3,4.325242315,-3.701180313,6.85287413,25.14638384,21.48400541,-8.211254035,-25.40555771,-0.473906197,33.492227,1008.51,1,1,17:38.4,1009.1
17:39.2,-101.6071986,-81.70706927,156.0901525,410.9810592,426.7536551,226.9455696,101.306307,224.2694415,411.409704,1008.51,1,1,17:39.3,1009.08
17:40.3,-86.39466075,-126.981631,127.0070171,433.849603,458.7540968,223.0775212,75.85170304,219.027872,435.0297399,1008.54,1,1,17:40.3,1009.05
17:41.2,-82.80887747,-129.5570743,124.2407118,432.918585,458.7558169,223.079196,75.84974886,219.0212347,435.0215291,1008.54,1,1,17:41.3,1009.05
17:42.3,-82.80953824,-129.5588783,124.2414837,432.9266303,458.7701514,223.0911451,75.85008893,219.009462,435.0065753,1008.49,1,1,17:42.3,1009.16
17:43.3,-82.8097209,-129.5573518,124.243275,432.9276387,458.770199,223.0908611,75.85036594,219.0103766,435.0070539,1008.49,1,1,17:43.4,1009.16
17:44.3,-82.81062577,-129.5532761,124.2452554,432.9151789,458.7421658,223.0663042,75.8543976,219.0486012,435.0573384,1008.54,1,1,17:44.3,1009.07
17:45.3,-82.8109985,-129.5572405,124.2431473,432.916188,458.7433869,223.0656232,75.8527761,219.0479821,435.0581088,1008.53,1,1,17:45.3,1009.07
17:46.3,-82.81057063,-129.5614765,124.2419807,432.9290614,458.7700937,223.0885297,75.85026091,219.0160582,435.0162663,1008.51,1,1,17:49.5,1009.1
17:47.2,-82.80924099,-129.5577808,124.24213,432.9245113,458.7648727,223.0863336,75.85083373,219.0168884,435.0160716,1008.54,1,1,17:49.5,1009.13
17:48.3,-82.80942041,-129.5559338,124.2428129,432.9199116,458.7549959,223.0774224,75.85085949,219.027837,435.0310413,1008.54,1,1,17:49.6,1009.07
17:49.2,-82.81245637,-129.5594987,124.2454181,432.9296114,458.7659006,223.0842523,75.85499569,219.0344458,435.0415972,1008.53,1,1,17:49.6,1009.12
17:50.3,-82.81000933,-129.5605636,124.2423491,432.9293798,458.7706476,223.088778,75.85001397,219.0160559,435.016963,1008.53,1,1,17:49.6,1009.08
17:51.3,-82.8108545,-129.5579587,124.2441776,432.9256844,458.7620269,223.0823558,75.85401843,219.0321137,435.0376771,1008.53,1,1,17:50.4,1009.08
17:52.2,-82.80992526,-129.5593859,124.2419863,432.9256783,458.7651334,223.0851416,75.85056442,219.0197982,435.0210941,1008.55,1,1,17:51.3,1009.1
17:53.3,-82.80960107,-129.5582025,124.2424571,432.92527,458.7648686,223.0853767,75.85075016,219.0197301,435.021171,1008.52,1,1,17:51.3,1009.08
17:54.3,-82.81179512,-129.5596447,124.2448249,432.9315266,458.7717126,223.0900486,75.85409806,219.0244352,435.0277931,1008.49,1,1,17:52.3,1009.08
17:55.2,-82.80923402,-129.5578223,124.2415024,432.9219192,458.760207,223.0823252,75.85075451,219.0208509,435.0208849,1008.49,1,1,17:53.3,1009.07
17:56.3,-82.80785738,-129.5544865,124.2400491,432.9119998,458.7464624,223.0730856,75.84938723,219.0234522,435.0220248,1008.52,1,1,17:54.3,1009.07
17:57.2,-82.80787715,-129.5543519,124.2399023,432.9119151,458.7470555,223.0737382,75.8484424,219.0202851,435.0180227,1008.51,1,1,17:55.3,1009.07
17:58.3,-82.80972388,-129.5564142,124.2421166,432.9209475,458.7596449,223.0831244,75.85079703,219.0179062,435.0159362,1008.51,1,1,17:56.3,1009.09
17:59.3,-82.80869451,-129.5557618,124.2412376,432.9182149,458.7559142,223.0800768,75.84974393,219.0186623,435.0170462,1008.54,1,1,17:56.4,1009.14
18:00.3,-82.80944946,-129.5557109,124.2428091,432.9198073,458.7553898,223.0780569,75.85027603,219.02497,435.0267945,1008.53,1,1,17:57.3,1009.14
18:01.3,-82.81303994,-129.5588541,124.2470442,432.9308328,458.7655349,223.0830584,75.85547878,219.0380999,435.0466259,1008.53,1,1,17:58.3,1009.13
18:02.2,-82.81188024,-129.5600966,124.2450633,432.9285906,458.7624437,223.0797598,75.85381218,219.0386925,435.0480127,1008.51,1,1,17:59.3,1009.07
18:03.3,-82.81153513,-129.5602075,124.2439583,432.927106,458.762158,223.0809041,75.85401836,219.0354761,435.0424608,1008.53,1,1,17:59.6,1009.07
18:04.3,-82.80812916,-129.5582846,124.2397178,432.919176,458.7572203,223.0797404,75.84847986,219.0183446,435.0180597,1008.53,1,1,18:00.3,1009.07
18:05.2,-82.80963584,-129.5576734,124.2421613,432.9241331,458.7645001,223.0863539,75.85098888,219.0168064,435.0158906,1008.51,1,1,18:01.3,1009.1
18:06.1,-82.80973119,-129.5574621,124.2425484,432.9245943,458.7647313,223.0862729,75.85094386,219.0170416,435.0161187,1008.52,1,1,18:02.3,1009.1
18:07.3,-82.80949394,-129.5559123,124.2425622,432.9192766,458.7544874,223.0776069,75.85144928,219.0279053,435.0303894,1008.52,1,1,18:03.3,1009.11
18:08.3,-82.8104931,-129.5575486,124.2433393,432.923165,458.7591098,223.0802528,75.85169377,219.0272907,435.0302049,1008.51,1,1,18:04.3,1009.11
18:09.2,-82.81063149,-129.5576598,124.2436432,432.9233545,458.758516,223.0794866,75.85245974,219.0304209,435.0344161,1008.58,1,1,18:05.3,1009.11
18:10.2,-82.80950888,-129.5576333,124.2423118,432.9208878,458.7553603,223.0763251,75.85044102,219.0306295,435.0363742,1008.53,1,1,18:06.3,1009.11
18:11.2,-82.81418726,-129.5630076,124.2475382,432.9422722,458.7846333,223.0979461,75.85606466,219.0253834,435.0312793,1008.52,1,1,18:06.4,1009.1
18:12.0,-82.81005242,-129.5594863,124.242941,432.9265648,458.7638842,223.0829321,75.85241744,219.0290792,435.0344808,1008.54,1,1,18:07.3,1009.1
18:12.8,-82.80983282,-129.5583366,124.2424818,432.9232931,458.7597608,223.0803583,75.85112046,219.0269496,435.0307396,1008.54,1,1,18:08.3,1009.08
18:13.9,-82.81113186,-129.5596224,124.2438453,432.9289357,458.7678952,223.0867172,75.85286502,219.0252474,435.0290654,1008.52,1,1,18:08.4,1009.11
18:14.8,-82.81036514,-129.5595174,124.24314,432.9288028,458.7693131,223.0882828,75.85147781,219.0192838,435.0206936,1008.51,1,1,18:09.8,1009.11
18:15.9,-82.81026076,-129.5571535,124.2435525,432.922949,458.7584443,223.0797864,75.85265492,219.0303135,435.0343353,1008.57,1,1,18:10.3,1009.11
18:16.8,-82.80965568,-129.5575171,124.2424447,432.9208467,458.7552203,223.0763213,75.85062231,219.0307511,435.0362447,1008.54,1,1,18:11.3,1009.12
18:17.8,-82.81354078,-129.5622137,124.2469266,432.9394076,458.7805476,223.0947847,75.85515845,219.0262081,435.0322283,1008.57,-1,1,18:11.4,1009.08
18:18.8,-82.84535604,-129.5760435,124.2565913,432.9452555,458.7558205,223.0575415,75.85236443,219.0646288,435.0565854,1008.56,1,1,18:12.3,1009.08
18:19.8,-82.86653763,-129.4443646,124.408821,432.8039305,458.162841,222.23744,75.23266932,218.8819972,435.1841521,1008.57,1,1,18:13.3,1009.12
18:20.8,-82.85208503,-129.5959109,124.2617584,432.9688064,458.7779602,223.0670424,75.83984415,219.0324346,435.0334921,1008.52,1,1,18:14.3,1009.08
18:21.8,-82.81129396,-129.5615791,124.2466229,432.938293,458.7795393,223.0947851,75.85660328,219.0289246,435.0356204,1008.54,1,1,18:15.3,1009.1
18:22.8,-82.80856662,-129.5589373,124.2408128,432.9229983,458.7616755,223.0821592,75.84931933,219.02054,435.0226498,1008.58,1,1,18:16.5,1009.06
18:23.8,-82.81071354,-129.5592936,124.2434871,432.9284107,458.7679463,223.0870413,75.8526992,219.0248084,435.0292727,1008.52,1,1,18:17.9,1009.1
18:24.9,-82.81209782,-129.562773,124.2447922,432.9405032,458.7876247,223.1023953,75.85291656,219.0097779,435.0096454,1008.55,1,1,18:19.4,1009.09
18:25.8,-82.80883919,-129.5571444,124.2420697,432.9221743,458.7596425,223.0811781,75.85151575,219.0265223,435.0305558,1008.57,1,1,18:19.6,1009.1
18:26.8,-82.81137826,-129.5604298,124.2442203,432.9323389,458.7733562,223.0905237,75.8522348,219.0212484,435.0250628,1008.57,1,1,18:20.3,1009.09
18:27.8,-82.81220695,-129.5621502,124.2454126,432.9384085,458.7815299,223.096237,75.85426414,219.0224443,435.0281349,1008.57,1,1,18:21.4,1009.1
18:28.8,-82.81158765,-129.5625991,124.2446378,432.9385326,458.7826522,223.0970279,75.85319494,219.0192832,435.0242719,1008.57,1,1,18:22.3,1009.04
18:29.8,-82.81173048,-129.5625061,124.2443981,432.9375508,458.7814216,223.0966837,75.85449889,219.0220206,435.027609,1008.56,1,1,18:23.3,1009.07
18:30.8,-82.80987608,-129.5625873,124.2419198,432.9365827,458.7852489,223.1013353,75.85024152,219.0037002,435.0021917,1008.58,1,1,18:24.3,1009.08
18:31.8,-82.81008129,-129.5598615,124.2433721,432.9333448,458.7784771,223.0962435,75.85218521,219.0136886,435.0153495,1008.54,1,1,18:25.3,1009.1
18:32.8,-82.8123893,-129.5619726,124.2457368,432.9405963,458.7864676,223.1011467,75.85429423,219.0157035,435.0183911,1008.55,-1,1,18:26.3,1009.12
18:33.8,-82.84486116,-129.5747085,124.2566446,432.9446993,458.75665,223.0592496,75.85151539,219.058855,435.0479575,1008.57,-1,1,18:27.3,1009.11
18:34.8,-82.90143396,-129.4573723,124.4230373,432.8143817,458.1397101,222.2001793,75.23319464,218.929962,435.2208038,1008.6,-1,1,18:28.3,1009.1
18:35.9,-82.94330697,-129.4948872,124.440907,432.854464,458.1489377,222.1794062,75.22085372,218.9401965,435.2290476,1008.58,-1,1,18:29.3,1009.09
18:36.8,-82.94259927,-129.4971389,124.4421926,432.862978,458.1621822,222.1897981,75.22262859,218.9346161,435.2225023,1008.55,-1,1,18:30.3,1009.09
18:37.8,-82.94080352,-129.4951865,124.4402464,432.8561347,458.1539994,222.1846809,75.22106114,218.9332369,435.2189655,1008.6,1,1,18:31.3,1009.12
18:38.8,-82.90445553,-129.4769715,124.4257559,432.8320907,458.1537412,222.2029291,75.21909105,218.9018293,435.2039085,1008.56,-1,1,18:32.3,1009.1
18:39.8,-82.88910465,-129.6147543,124.2794512,432.9974868,458.7802147,223.0483109,75.844778,219.0754995,435.0658325,1008.55,-1,1,18:33.4,1009.09
18:40.8,-82.89854176,-129.45936,124.421353,432.8168965,458.1459449,222.2052353,75.23223109,218.9226481,435.2117668,1008.56,-1,1,18:34.4,1009.07
18:41.8,-82.9413997,-129.4925209,124.438533,432.8465239,458.1405246,222.1752711,75.21934918,218.9357792,435.2203639,1008.56,-1,1,18:35.3,1009.07
18:42.8,-82.93969863,-129.4928402,124.4385954,432.8488833,458.1456992,222.1800462,75.21892571,218.9288222,435.2109601,1008.57,1,1,18:36.3,1009.1
18:43.8,-82.90490642,-129.4767605,124.4260432,432.8337011,458.1580308,222.207851,75.21958305,218.8951024,435.1935183,1008.56,1,1,18:37.3,1009.12
18:44.8,-82.85193382,-129.5961281,124.263899,432.9722316,458.7806132,223.0685229,75.84233375,219.0381009,435.0412862,1008.54,1,1,18:38.3,1009.12
18:45.8,-82.81052772,-129.5614885,124.2459616,432.9364387,458.7763022,223.0913178,75.85493359,219.0298949,435.0376478,1008.57,1,1,18:39.3,1009.08
18:46.8,-82.81094042,-129.5608509,124.2436879,432.9301118,458.7680175,223.0851498,75.85313346,219.0311091,435.0390098,1008.56,1,1,18:40.3,1009.05
18:47.8,-82.81162906,-129.5631923,124.2437447,432.9377101,458.7826461,223.0978128,75.85301722,219.0162806,435.0192885,1008.57,1,1,18:41.3,1009.06
18:48.8,-82.8093918,-129.5612644,124.2416831,432.9332038,458.7800611,223.0976608,75.85053263,219.00757,435.0069758,1008.55,1,1,18:42.3,1009.12
