Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult,TimeB,BaroB
01:42.3,0.078658304,0.248991377,0.203344262,-0.437662395,-1.378109051,-1.47020195,-0.09724609,1.425089291,1.01054582,1008.18,1,1,01:42.3,1008.79
01:43.3,16.15727228,15.40432369,4.804753713,-5.066928842,-3.708161352,5.046046006,6.791822195,-2.384337874,-7.71224902,1008.17,1,1,01:43.3,1008.75
01:44.3,-29.48140205,33.80811798,76.12255821,27.82011928,-64.80725821,-57.73832497,122.6787248,360.8418836,450.5812614,1008.14,1,1,01:44.3,1008.78
01:45.3,0.129681521,78.00716678,72.06026405,-4.847025935,-74.24805111,-37.44209327,136.9725942,350.1233182,434.8657321,1008.14,1,1,01:45.3,1008.77
01:46.3,-4.894158804,87.62588839,90.5665823,8.928265936,-70.94225365,-40.22835025,134.1415482,349.1790972,434.8493357,1008.15,1,1,01:46.3,1008.75
01:47.3,-4.894779154,87.62455045,90.56651732,8.929092566,-70.94199737,-40.2288857,134.141192,349.1793771,434.8496725,1008.11,1,1,01:47.3,1008.74
01:48.3,-4.89546758,87.62361524,90.56616641,8.929219772,-70.94238951,-40.22987504,134.1413906,349.1824882,434.8546476,1008.15,1,1,01:48.3,1008.73
01:49.3,-4.893281134,87.62482761,90.5645521,8.927521857,-70.94044451,-40.2261302,134.1394337,349.1700131,434.8365998,1008.17,1,1,01:49.3,1008.73
01:50.3,-4.895539216,87.62329659,90.56683229,8.929992738,-70.9424453,-40.23015638,134.1416735,349.1827687,434.8541401,1008.17,1,1,01:50.3,1008.76
01:51.3,-4.894867243,87.62487739,90.56705171,8.928629285,-70.94426413,-40.23086988,134.1438226,349.1886484,434.8620663,1008.16,1,1,01:51.3,1008.78
01:52.3,-4.89471343,87.62596745,90.56764507,8.928551491,-70.94428945,-40.23061682,134.1439225,349.1884283,434.8618969,1008.16,1,1,01:52.3,1008.75
01:53.3,-4.894499833,87.6261316,90.56751273,8.92854852,-70.943624,-40.22984374,134.1431962,349.1853087,434.8575953,1008.15,1,1,01:53.3,1008.72
01:54.3,-4.89490818,87.62547999,90.56744543,8.928955804,-70.94342376,-40.23011131,134.1428833,349.185393,434.8579321,1008.14,1,1,01:54.3,1008.74
01:55.3,-4.894635285,87.62523974,90.56671653,8.928611283,-70.94278819,-40.22932258,134.1421004,349.1822972,434.8537993,1008.19,1,1,01:55.3,1008.77
01:56.3,-4.893888319,87.62563773,90.56663395,8.928355022,-70.94245528,-40.22840175,134.1419487,349.1793051,434.8488228,1008.15,1,1,01:56.4,1008.82
01:57.3,-4.896349969,87.62433628,90.56855113,8.930191409,-70.94502768,-40.23294269,134.1446044,349.194888,434.8711702,1008.2,1,1,01:57.4,1008.82
01:58.3,-4.892867256,87.62755584,90.56679811,8.926923667,-70.94368547,-40.2282813,134.1435102,349.1820692,434.8522787,1008.25,1,1,01:58.3,1008.77
