Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult,TimeB,BaroB
16:15.1,0.0249047,0.041699589,-0.046412843,-0.242149151,-0.293256967,0.082466432,-2.25,34.18,81.25,1014.78,1,1,16:15.5,1015.34
16:16.1,4.334121394,-1.985915114,7.808770425,23.42991381,19.37120401,-6.767594975,-9.89,37.33,76.9,1014.84,1,1,16:16.5,1015.3
16:17.1,-99.90454781,-74.17559494,164.7745216,413.9819309,424.5467684,225.7152918,-8.39,43.02,69.4,1014.77,1,1,16:17.5,1015.3
16:18.1,-83.71843716,-119.8386115,132.9040607,434.4593638,456.3389484,222.5914761,-8.39,40.47,64.31,1014.74,-1,1,16:18.5,1015.26
16:19.1,-77.41001294,-121.16208,129.4299416,431.8074679,454.7487728,221.7126043,-9.14,41.52,62.21,1014.79,-1,1,16:19.4,1015.3
16:20.1,-77.16572187,-122.3475605,126.6505916,428.6018844,452.488469,220.7747525,-7.35,40.77,63.26,1014.78,-1,1,16:20.5,1015.29
16:21.1,-76.76109668,-122.2696643,126.0401896,427.7002698,451.955709,220.8435162,-7.35,41.82,62.96,1014.8,-1,1,16:21.5,1015.33
16:22.1,-76.508956,-121.7298676,126.6494361,428.0647207,452.0062966,220.746741,-8.39,40.77,61.46,1014.79,-1,1,16:22.4,1015.3
16:23.1,-76.50071958,-121.3948753,127.154328,428.3672524,451.883416,220.4626081,-8.69,40.77,62.51,1014.8,1,1,16:23.5,1015.3
16:24.1,-76.60048166,-122.4924867,125.7035908,427.3317692,451.5833881,220.6534786,-8.69,40.77,62.51,1014.79,1,1,16:24.5,1015.31
16:25.1,-77.04171399,-122.6654882,125.9220695,427.9193195,452.4519451,221.5569088,-8.69,40.77,62.51,1014.74,1,1,16:25.5,1015.34
16:26.1,-76.9890274,-122.5864936,125.9596347,427.9178061,452.4473279,221.5590917,-8.69,40.77,62.51,1014.81,1,1,16:26.5,1015.32
16:27.0,-76.98852535,-122.583188,125.9569483,427.9034102,452.4248953,221.5411284,-8.69,40.77,62.51,1014.83,-1,1,16:27.5,1015.31
16:28.1,-77.02731396,-122.6051181,125.9738392,427.9404671,452.4440456,221.5362215,-8.69,40.77,62.51,1014.8,-1,1,16:28.5,1015.3
16:29.1,-77.08180962,-122.4879113,126.1384337,427.8113187,451.8333233,220.6837275,-8.69,40.77,62.51,1014.81,-1,1,16:29.5,1015.31
16:30.1,-77.12085643,-122.520069,126.153679,427.8355426,451.8205395,220.6476438,-8.69,40.77,62.51,1014.81,1,1,16:30.5,1015.31
16:31.1,-77.0858634,-122.5048506,126.1424987,427.8233458,451.8358273,220.6775838,-8.69,40.77,62.51,1014.77,1,1,16:31.5,1015.35
16:32.1,-77.03135353,-122.623554,125.9784324,427.9583203,452.45594,221.5374551,-8.69,40.77,62.51,1014.77,1,1,16:32.5,1015.36
16:33.1,-76.98882956,-122.5854695,125.959927,427.9134337,452.4372329,221.5494526,-8.69,40.77,62.51,1014.74,1,1,16:33.5,1015.31
16:34.1,-76.99185897,-122.5864757,125.9601426,427.9134737,452.4359786,221.548342,-8.69,40.77,62.51,1014.75,1,1,16:34.5,1015.31
16:35.1,-76.98815791,-122.5844618,125.9554305,427.9030349,452.426356,221.5430724,-8.69,40.77,62.51,1014.77,1,1,16:35.5,1015.32
16:36.1,-76.98905611,-122.5834253,125.9571761,427.9053713,452.4297242,221.5463792,-8.69,40.77,62.51,1014.74,1,1,16:36.5,1015.32
16:37.1,-76.99082026,-122.5848493,125.9591959,427.9117133,452.4374545,221.5518054,-8.69,40.77,62.51,1014.78,1,1,16:37.4,1015.33
16:38.1,-76.98841922,-122.5831243,125.9565499,427.9030448,452.4256354,221.5424883,-8.69,40.77,62.51,1014.77,1,1,16:38.5,1015.33
16:39.1,-76.99169929,-122.5861208,125.9602697,427.915638,452.4416899,221.5538794,-8.69,40.77,62.51,1014.73,1,1,16:39.5,1015.36
16:40.1,-76.99080464,-122.5856301,125.9595147,427.9130373,452.437794,221.550723,-8.69,40.77,62.51,1014.74,1,1,16:40.5,1015.34
16:41.1,-76.98946807,-122.5824413,125.9580559,427.9011597,452.4186554,221.5359253,-8.69,40.77,62.51,1014.77,1,1,16:41.5,1015.3
16:42.1,-76.98977191,-122.5842504,125.9573069,427.9038089,452.4242181,221.5404328,-8.69,40.77,62.51,1014.72,1,1,16:42.5,1015.33
16:43.1,-76.99034267,-122.5857271,125.9581955,427.9117903,452.4388223,221.5530512,-8.69,40.77,62.51,1014.75,1,1,16:43.5,1015.33
16:44.1,-76.98767698,-122.5806846,125.9560802,427.8964938,452.4156732,221.5356316,-8.69,40.77,62.51,1014.77,1,1,16:44.5,1015.32
16:45.1,-76.99032248,-122.5837987,125.9583914,427.9063829,452.4286044,221.5444334,-8.69,40.77,62.51,1014.75,1,1,16:45.5,1015.32
16:46.1,-76.99069211,-122.5856487,125.9588223,427.9121721,452.437938,221.5516319,-8.69,40.77,62.51,1014.75,1,1,16:46.4,1015.3
16:47.1,-76.98909508,-122.5839092,125.9569937,427.9054258,452.4292852,221.5457723,-8.69,40.77,62.51,1014.76,1,1,16:47.5,1015.3
16:48.1,-76.98871695,-122.5837488,125.9563265,427.9049403,452.4303331,221.5473011,-8.69,40.77,62.51,1014.75,1,1,16:48.5,1015.3
16:49.1,-76.98936604,-122.5838222,125.9573204,427.9075646,452.4341465,221.5505759,-8.69,40.77,62.51,1014.74,1,1,16:49.5,1015.28
16:50.1,-76.98869552,-122.5830432,125.9563412,427.9040798,452.4296911,221.5476625,-8.69,40.77,62.51,1014.72,1,1,16:50.5,1015.31
16:51.1,-76.98782198,-122.5818728,125.9554433,427.9008256,452.4263917,221.5459453,-8.69,40.77,62.51,1014.72,1,1,16:51.5,1015.32
