Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult,TimeB,BaroB
40:50.1,0.002363798,-0.001698277,-0.008185977,-0.00230487,0.011740471,0.008199539,-25.63,33.13,70.9,1014.96,1,1,40:50.4,1015.52
40:51.1,10.40174185,-6.935988681,-7.256981175,10.44225005,11.68332902,-11.81769369,-25.63,33.13,70.9,1014.91,1,1,40:51.5,1015.56
40:52.2,-18.66158597,-111.9716352,37.70555611,376.7350846,530.2726935,308.9379933,-25.63,33.13,70.9,1014.96,1,1,40:52.4,1015.56
40:53.2,8.335430577,-102.3037827,18.66327335,367.8746831,543.9362029,317.2358294,-25.63,33.13,70.9,1014.96,1,1,40:53.5,1015.56
40:54.2,8.328913047,-102.3119137,18.66491082,367.8910478,543.9598221,317.2512247,-25.63,33.13,70.9,1015.01,1,1,40:54.4,1015.55
40:55.1,8.330777475,-102.3116539,18.66357773,367.8910048,543.9611192,317.2511814,-25.63,33.13,70.9,1014.98,1,1,40:55.5,1015.53
40:56.1,8.329741374,-102.3166035,18.66455352,367.9065857,543.9849981,317.2673432,-25.63,33.13,70.9,1014.93,1,1,40:56.4,1015.51
40:57.2,8.330915507,-102.3126387,18.66362679,367.8961021,543.9704353,317.258797,-25.63,33.13,70.9,1014.95,1,1,40:57.5,1015.55
40:58.2,8.331054692,-102.3079703,18.66328461,367.8807328,543.9460349,317.2424584,-25.63,33.13,70.9,1014.97,1,1,40:58.5,1015.52
40:59.2,8.329687063,-102.3107213,18.66432018,367.8877676,543.955352,317.2481363,-25.63,33.13,70.9,1014.94,1,1,40:59.5,1015.54
41:00.1,8.329595887,-102.3123605,18.66449668,367.893631,543.9649288,317.2549683,-25.63,33.13,70.9,1014.96,1,1,41:00.5,1015.52
41:01.2,8.330762999,-102.3091749,18.66352995,367.8840991,543.9508855,317.2454358,-25.63,33.13,70.9,1014.96,1,1,41:01.5,1015.52
41:02.1,8.329696474,-102.3115726,18.66436816,367.8907462,543.9602025,317.2515014,-25.63,33.13,70.9,1014.93,1,1,41:03.2,1015.54
41:03.1,8.3298863,-102.3111573,18.66425535,367.8902664,543.9600717,317.2519899,-25.63,33.13,70.9,1014.94,1,1,41:03.4,1015.51
41:04.1,8.330418674,-102.308138,18.66373817,367.8808442,543.9456387,317.2423736,-25.63,33.13,70.9,1014.97,1,1,41:04.4,1015.56
41:05.1,8.329826191,-102.3096954,18.66417965,367.8845975,543.9504915,317.2449638,-25.63,33.13,70.9,1014.95,1,1,41:05.5,1015.54
41:06.1,8.329443936,-102.3125384,18.66459951,367.8938264,543.9649222,317.2547736,-25.63,33.13,70.9,1014.95,1,1,41:06.4,1015.53
41:07.1,8.330509943,-102.3101412,18.66376275,367.8871797,543.9556028,317.2487079,-25.63,33.13,70.9,1014.97,1,1,41:07.6,1015.52
41:08.2,8.330208534,-102.3104947,18.6639609,367.8875676,543.9556016,317.2483202,-25.63,33.13,70.9,1015,1,1,41:08.5,1015.55
41:09.1,8.330260813,-102.3127364,18.66399884,367.8941888,543.9656976,317.2543597,-25.63,33.13,70.9,1014.97,1,1,41:09.4,1015.5
41:10.2,8.330029204,-102.3154028,18.66431992,367.903224,543.9801284,317.2643633,-25.63,33.13,70.9,1014.9,1,1,41:10.4,1015.47
41:11.2,8.330457444,-102.3115421,18.66392673,367.8927577,543.9650462,317.2558344,-25.63,33.13,70.9,1014.98,1,1,41:11.5,1015.48
41:12.1,8.331544676,-102.3051931,18.66279111,367.8716005,543.9317171,317.2325452,-25.63,33.13,70.9,1014.91,1,1,41:12.5,1015.49
41:13.2,8.327810144,-102.3137754,18.665816,367.8970346,543.9687295,317.2579789,-25.63,33.13,70.9,1015,1,1,41:13.5,1015.5
41:14.4,8.33188782,-102.306231,18.66258643,367.8748566,543.9369582,317.2356067,-25.63,33.13,70.9,1014.96,1,1,41:14.5,1015.52
41:15.2,8.328346195,-102.3160275,18.66550402,367.90374,543.9792136,317.2639085,-25.63,33.13,70.9,1014.98,1,1,41:15.5,1015.5
41:16.2,8.331486185,-102.3110146,18.66311341,367.890328,543.9612254,317.2518523,-25.63,33.13,70.9,1014.95,1,1,41:16.4,1015.53
41:17.1,8.329824433,-102.3133396,18.66438634,367.8967986,543.9700232,317.2581289,-25.63,33.13,70.9,1014.96,1,1,41:17.5,1015.51
41:18.2,8.330880358,-102.3100918,18.66350364,367.8871741,543.95585,317.2486976,-25.63,33.13,70.9,1014.98,1,1,41:18.5,1015.51
41:19.2,8.330176652,-102.3115868,18.66402921,367.8908347,543.9605728,317.2513891,-25.63,33.13,70.9,1014.96,1,1,41:19.5,1015.54
41:20.1,8.329934888,-102.3134026,18.66430442,367.896892,543.9701496,317.2580273,-25.63,33.13,70.9,1014.94,1,1,41:20.4,1015.46
41:21.2,8.330516844,-102.3109951,18.66381838,367.8901614,543.9604408,317.2520713,-25.63,33.13,70.9,1014.97,1,1,41:21.5,1015.53
