Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult,TimeB,BaroB
16:50.3,0.002325828,-0.001413252,-0.008301995,-0.004134095,0.009970366,0.011569621,-27.28,35.83,50.82,1008.32,1,1,16:50.3,1008.98
16:51.3,-0.476953839,26.98959637,22.90388009,-17.67501579,-25.17841224,22.56710285,-27.28,35.83,50.82,1008.3,1,1,16:51.4,1008.97
16:52.3,494.5552681,241.4073567,45.57135598,200.0861162,454.7900089,400.7762477,-27.28,35.83,50.82,1008.34,1,1,16:54.8,1008.97
16:53.3,467.2789417,225.8880738,71.01733724,226.6359893,452.9694175,392.2851994,-27.28,35.83,50.82,1008.31,1,1,16:54.8,1008.97
16:53.9,467.2989566,225.900709,71.01718548,226.6317761,452.9693685,392.2872928,-27.28,35.83,50.82,1008.31,1,1,16:54.8,1008.92
16:55.2,467.2837205,225.8901085,71.01664023,226.6358388,452.9704828,392.2850056,-27.28,35.83,50.82,1008.33,1,1,16:55.6,1008.94
16:56.3,467.2846434,225.8959512,71.01606414,226.6191518,452.9454816,392.2696308,-27.28,35.83,50.82,1008.32,1,1,16:56.4,1008.92
16:57.3,467.2949326,225.9003188,71.01564293,226.6232086,452.9556864,392.2771556,-27.28,35.83,50.82,1008.32,1,1,16:57.4,1008.92
16:58.3,467.2898261,225.8988746,71.01569289,226.6184171,452.9460932,392.2700702,-27.28,35.83,50.82,1008.3,1,1,16:58.3,1008.92
16:59.3,467.2904433,225.8989544,71.01506498,226.6182729,452.9465664,392.2699928,-27.28,35.83,50.82,1008.34,1,1,16:59.4,1008.95
17:00.3,467.2806024,225.8934834,71.01563078,226.6197409,452.9458715,392.2695706,-27.28,35.83,50.82,1008.32,1,1,17:00.3,1008.93
17:00.9,467.2997967,225.9026933,71.01594168,226.6251458,452.9602771,392.2810456,-27.28,35.83,50.82,1008.32,1,1,17:01.4,1008.97
17:02.3,467.2897559,225.8985211,71.01664482,226.6215599,452.9505385,392.2736427,-27.28,35.83,50.82,1008.33,1,1,17:02.3,1008.93
17:03.3,467.2893724,225.8941626,71.01642899,226.6338813,452.9701492,392.2862479,-27.28,35.83,50.82,1008.35,1,1,17:03.3,1008.94
17:04.3,467.2939568,225.9013909,71.01688746,226.6202783,452.9498147,392.2742206,-27.28,35.83,50.82,1008.33,1,1,17:04.3,1008.92
17:05.3,467.3042033,225.9065299,71.01643376,226.6215254,452.9553323,392.2783758,-27.28,35.83,50.82,1008.33,1,1,17:05.3,1008.94
17:06.3,467.2945608,225.90235,71.01643238,226.6175451,452.9457963,392.2709564,-27.28,35.83,50.82,1008.33,1,1,17:06.3,1008.94
17:07.3,467.294813,225.9006227,71.01624222,226.6233745,452.9555441,392.2774719,-27.28,35.83,50.82,1008.33,1,1,17:07.4,1008.93
17:08.3,467.2943795,225.9002531,71.01639329,226.6236278,452.9554675,392.2772606,-27.28,35.83,50.82,1008.35,1,1,17:08.3,1008.92
17:09.3,467.2942838,225.9012984,71.01640012,226.6203225,452.95034,392.2742309,-27.28,35.83,50.82,1008.35,1,1,17:09.4,1008.98
17:10.3,467.3047208,225.9097742,71.01708417,226.6146351,452.9447921,392.2728459,-27.28,35.83,50.82,1008.34,1,1,17:10.4,1008.95
17:11.3,467.3037731,225.902993,71.01758403,226.6342018,452.9745773,392.2915104,-27.28,35.83,50.82,1008.34,1,1,17:11.3,1008.95
17:12.3,467.2982439,225.9022959,71.01778712,226.6262753,452.9596595,392.2810459,-27.28,35.83,50.82,1008.32,1,1,17:12.4,1008.94
17:13.3,467.2989762,225.9023096,71.01691786,226.6261003,452.9603004,392.2809383,-27.28,35.83,50.82,1008.35,1,1,17:13.4,1008.92
17:14.3,467.2890211,225.8969367,71.01665408,226.6248106,452.9553551,392.2767672,-27.28,35.83,50.82,1008.34,1,1,17:14.3,1008.93
17:15.3,467.3043658,225.9088069,71.01643049,226.6150031,452.9452806,392.2722566,-27.28,35.83,50.82,1008.34,1,1,17:15.3,1008.93
17:16.3,467.2994846,225.9046236,71.01650657,226.6195241,452.9506531,392.2749147,-27.28,35.83,50.82,1008.32,1,1,17:16.3,1008.92
17:17.2,467.2994859,225.9042324,71.01615696,226.61972,452.9509583,392.2745579,-27.28,35.83,50.82,1008.34,1,1,17:17.3,1008.89
17:18.3,467.2895471,225.8985997,71.01565197,226.6185932,452.946279,392.2701794,-27.28,35.83,50.82,1008.32,1,1,17:18.3,1008.91
17:19.3,467.3003302,225.9084002,71.01512035,226.6066802,452.9315903,392.2618944,-27.28,35.83,50.82,1008.31,1,1,17:19.3,1008.92
17:20.3,467.2908731,225.9002563,71.01493713,226.6151797,452.9420726,392.267204,-27.28,35.83,50.82,1008.31,1,1,17:20.3,1008.91
17:21.3,467.2856133,225.8958124,71.01486586,226.6192973,452.9468549,392.2696244,-27.28,35.83,50.82,1008.3,1,1,17:21.3,1008.92
17:22.3,467.2858064,225.8968757,71.01472384,226.6160957,452.9419554,392.2663954,-27.28,35.83,50.82,1008.27,1,1,17:22.3,1008.86
