Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult
52:45.1,0.058290715,-0.044543265,-0.305810002,-0.187984657,0.561435352,1.004624228,23.68,39.87,63.41,1015.03,1,1
52:46.2,12.48470368,-5.12044898,-10.11133421,7.354969302,15.62561773,-5.947528764,23.68,39.87,63.41,1015.02,1,1
52:47.2,-4.665507297,-82.62013294,54.32795118,372.070501,524.8145649,313.7437468,23.68,39.87,63.41,1015.04,1,1
52:48.2,21.49409636,-71.47837664,36.64191246,362.9176401,537.9133523,322.5618387,23.68,39.87,63.41,1014.99,1,1
52:49.2,21.48849144,-71.48265701,36.64280521,362.9236221,537.92228,322.5685953,23.68,39.87,63.41,1015.03,1,1
52:50.2,21.49016181,-71.47754161,36.64138126,362.9079319,537.8987885,322.5525172,23.68,39.87,63.41,1015.04,1,1
52:51.2,21.48840204,-71.48228474,36.6427901,362.9212174,537.9176835,322.5646396,23.68,39.87,63.41,1015.08,1,1
52:52.1,21.48975305,-71.48310419,36.6418684,362.9243548,537.9235749,322.5677766,23.68,39.87,63.41,1015.04,1,1
52:53.1,21.48900802,-71.48684986,36.64260084,362.9365702,537.9425999,322.5809605,23.68,39.87,63.41,1015.05,1,1
52:54.2,21.49072789,-71.48234608,36.64120812,362.9235715,537.9238324,322.5685428,23.68,39.87,63.41,1015.01,1,1
52:55.2,21.48909541,-71.48358157,36.64242052,362.926778,537.9276464,322.5717489,23.68,39.87,63.41,1015.06,1,1
52:56.2,21.49047473,-71.4796701,36.64123989,362.9144533,537.9090088,322.5586486,23.68,39.87,63.41,1015.04,1,1
52:57.2,21.48850273,-71.48513922,36.64286267,362.9305316,537.932498,322.5743389,23.68,39.87,63.41,1015.02,1,1
52:58.2,21.48986991,-71.48238874,36.64182847,362.9234973,537.9231786,322.5686607,23.68,39.87,63.41,1015.05,1,1
52:59.2,21.48996064,-71.48075005,36.64165334,362.9176344,537.9135996,322.5618285,23.68,39.87,63.41,1015.04,1,1
53:00.2,21.48890428,-71.48399835,36.64253739,362.9272595,537.9277706,322.5712594,23.68,39.87,63.41,1015.04,1,1
53:01.2,21.4898298,-71.48262837,36.64184526,362.9237845,537.9233051,322.5683653,23.68,39.87,63.41,1015.04,1,1
53:02.2,21.48956782,-71.48274292,36.64202869,362.923886,537.9231741,322.5682726,23.68,39.87,63.41,1015.06,1,1
53:03.2,21.48978993,-71.48286777,36.64186135,362.9240714,537.9234327,322.56807,23.68,39.87,63.41,1015.04,1,1
53:04.2,21.48928639,-71.48479788,36.64231932,362.9302298,537.9328796,322.5746156,23.68,39.87,63.41,1014.99,1,1
53:05.1,21.48953479,-71.48220342,36.64208536,362.9232215,537.9227813,322.5689634,23.68,39.87,63.41,1015.03,1,1
53:06.2,21.49015817,-71.47754531,36.6413923,362.9079362,537.8987705,322.5525149,23.68,39.87,63.41,1015,1,1
53:07.1,21.48795365,-71.48203914,36.64313727,362.9208514,537.9171461,322.5650422,23.68,39.87,63.41,1015,1,1
53:08.2,21.48942195,-71.4785004,36.6419731,362.9109319,537.9031028,322.5558973,23.68,39.87,63.41,1015.03,1,1
53:09.1,21.4889699,-71.47903048,36.64227001,362.9115134,537.9031016,322.5553159,23.68,39.87,63.41,1015,1,1
53:10.2,21.48821477,-71.48192556,36.64295656,362.9207511,537.9172727,322.5651343,23.68,39.87,63.41,1015,1,1
53:11.2,21.4894212,-71.47850104,36.64197526,362.9109326,537.9030993,322.5558969,23.68,39.87,63.41,1014.97,1,1
53:12.2,21.48830219,-71.47865734,36.64277619,362.9109589,537.9023192,322.5559227,23.68,39.87,63.41,1014.98,1,1
53:13.1,21.48883458,-71.47563815,36.64225898,362.9015367,537.8878863,322.5463064,23.68,39.87,63.41,1014.99,1,1
53:14.2,21.48801981,-71.4770709,36.64286844,362.9051049,537.8924795,322.549099,23.68,39.87,63.41,1015,1,1
53:15.1,21.48825197,-71.47804632,36.64274707,362.9082681,537.8975918,322.5522619,23.68,39.87,63.41,1014.96,1,1
53:16.1,21.48792839,-71.47871029,36.64304563,362.9109686,537.9020552,322.5559308,23.68,39.87,63.41,1014.99,1,1
53:17.2,21.48908534,-71.4746741,36.64203309,362.8984587,537.8831578,322.5430329,23.68,39.87,63.41,1014.99,1,1
53:18.1,21.48761658,-71.47821334,36.64319864,362.9083788,537.8971989,322.5521775,23.68,39.87,63.41,1015,1,1
53:19.1,21.48851286,-71.47793298,36.64256703,362.908168,537.8977172,322.5523539,23.68,39.87,63.41,1015.01,1,1
53:20.2,21.48848331,-71.47902272,36.64262836,362.9114325,537.9026998,322.5554242,23.68,39.87,63.41,1015,1,1
53:21.2,21.48849313,-71.47987355,36.64267503,362.9144106,537.9075524,322.5587895,23.68,39.87,63.41,1015.01,1,1
53:22.2,21.48900633,-71.47879457,36.64226434,362.9112306,537.9029571,322.555609,23.68,39.87,63.41,1015.03,1,1
53:23.1,21.48882621,-71.480061,36.64242433,362.9146889,537.9079397,322.5584856,23.68,39.87,63.41,1014.97,1,1
53:24.2,21.4881398,-71.48162754,36.64303559,362.9203759,537.9169972,322.5655286,23.68,39.87,63.41,1015.02,1,1
53:25.1,21.49006176,-71.47554716,36.64138306,362.9016065,537.8887815,322.5461776,23.68,39.87,63.41,1015,1,1
53:26.2,21.48756628,-71.48124497,36.64337125,362.9178873,537.9120113,322.5616827,23.68,39.87,63.41,1015.01,1,1
53:27.3,21.48926693,-71.47868135,36.6420851,362.9111307,537.9030812,322.5557009,23.68,39.87,63.41,1014.98,1,1
53:28.2,21.48826915,-71.47975057,36.64284797,362.9142274,537.9072847,322.5589909,23.68,39.87,63.41,1014.98,1,1
53:29.1,21.48895219,-71.47655481,36.64223196,362.9046115,537.892852,322.5495683,23.68,39.87,63.41,1014.98,1,1
53:30.2,21.48816672,-71.47689796,36.64278082,362.9049154,537.8924614,322.5492905,23.68,39.87,63.41,1015.02,1,1
53:31.2,21.4886111,-71.47714738,36.64244554,362.9052859,537.8929795,322.5488855,23.68,39.87,63.41,1015.04,1,1
53:32.2,21.4882713,-71.48138126,36.64285668,362.918158,537.9126535,322.5613696,23.68,39.87,63.41,1014.99,1,1
53:33.2,21.4884813,-71.48266715,36.64283576,362.9236339,537.9222303,322.5685891,23.68,39.87,63.41,1014.98,1,1
53:34.2,21.48959582,-71.4772402,36.64183188,362.9074809,537.8980897,322.553017,23.68,39.87,63.41,1014.97,1,1
53:35.2,21.4883161,-71.47672247,36.64268565,362.904723,537.8924557,322.5494836,23.68,39.87,63.41,1015,1,1
53:36.1,21.48852811,-71.47599671,36.64247238,362.9019305,537.8878603,322.5459156,23.68,39.87,63.41,1015.01,1,1
53:37.1,21.48795589,-71.47925533,36.6430056,362.9116395,537.902421,322.5552366,23.68,39.87,63.41,1015.02,1,1
53:38.2,21.48871161,-71.48000211,36.64251873,362.9146004,537.907793,322.5585847,23.68,39.87,63.41,1014.99,1,1
53:39.1,21.48849909,-71.48072832,36.64273341,362.9173934,537.912386,322.5621524,23.68,39.87,63.41,1015.01,1,1
53:40.2,21.48940446,-71.47765717,36.6419494,362.9079626,537.8982128,322.5525274,23.68,39.87,63.41,1014.99,1,1
53:41.1,21.4881156,-71.47993018,36.64295564,362.9144247,537.9072702,322.5587953,23.68,39.87,63.41,1015,1,1
53:42.2,21.48903107,-71.47770964,36.64221754,362.9079718,537.8979509,322.5525357,23.68,39.87,63.41,1014.98,1,1
53:43.1,21.48814445,-71.47884108,36.64289642,362.911161,537.9022842,322.5557246,23.68,39.87,63.41,1015.02,1,1
53:44.2,21.48913167,-71.47692179,36.64208901,362.905087,537.8932246,322.5490688,23.68,39.87,63.41,1015.03,1,1
53:45.2,21.48815712,-71.4813219,36.64294973,362.9180689,537.912509,322.561469,23.68,39.87,63.41,1015.01,1,1
53:46.2,21.48884111,-71.48176752,36.64253213,362.9206509,537.9176214,322.5652132,23.68,39.87,63.41,1015.02,1,1
53:47.2,21.48949478,-71.47966125,36.64197682,362.9142992,537.9081722,322.5588611,23.68,39.87,63.41,1015.04,1,1
53:48.2,21.48905289,-71.48104199,36.64231958,362.9178587,537.913025,322.561645,23.68,39.87,63.41,1015.04,1,1
53:49.2,21.48903346,-71.4829824,36.64242678,362.924101,537.9228614,322.5680808,23.68,39.87,63.41,1015.02,1,1
53:50.2,21.48933441,-71.48262936,36.64223004,362.9237138,537.9228603,322.5684682,23.68,39.87,63.41,1015,1,1
53:51.1,21.4893928,-71.48045049,36.6421095,362.9171855,537.9128918,322.5623272,23.68,39.87,63.41,1015.02,1,1
53:52.2,21.48937239,-71.47874949,36.64201834,362.9112301,537.903183,322.5555961,23.68,39.87,63.41,1015.05,1,1
53:53.2,21.48890114,-71.48121973,36.64242178,362.9180538,537.9130193,322.5614506,23.68,39.87,63.41,1015.03,1,1
53:54.2,21.48878065,-71.48394848,36.64265889,362.9271815,537.9275798,322.571353,23.68,39.87,63.41,1015,1,1
53:55.2,21.48951315,-71.48136433,36.64207418,362.9202571,537.9178709,322.5655908,23.68,39.87,63.41,1015.03,1,1
53:56.2,21.48974436,-71.47869839,36.64175443,362.9112225,537.903438,322.5555869,23.68,39.87,63.41,1014.99,1,1
53:57.2,21.48809273,-71.48187408,36.64307326,362.9206711,537.9170897,322.5652289,23.68,39.87,63.41,1015,1,1
53:58.1,21.48955087,-71.47748468,36.64186323,362.9077736,537.8981924,322.5527186,23.68,39.87,63.41,1015.02,1,1
53:59.2,21.4885855,-71.47909407,36.6425714,362.9115356,537.9027856,322.5553174,23.68,39.87,63.41,1015,1,1
54:00.1,21.48834367,-71.4809098,36.6428467,362.9175928,537.9123623,322.5619557,23.68,39.87,63.41,1015,1,1
54:01.2,21.48914797,-71.47862694,36.64219262,362.9110474,537.9029132,322.5557973,23.68,39.87,63.41,1015,1,1
54:02.1,21.48862417,-71.47885576,36.64255885,362.91125,537.9026523,322.555612,23.68,39.87,63.41,1015,1,1
54:03.2,21.48862399,-71.47885604,36.64255948,362.9112503,537.9026513,322.5556119,23.68,39.87,63.41,1015.01,1,1
54:04.2,21.48873488,-71.47891853,36.64247624,362.9113431,537.9027798,322.5555105,23.68,39.87,63.41,1015.03,1,1
54:05.2,21.48881652,-71.48007067,36.64245351,362.9147002,537.9078922,322.5584796,23.68,39.87,63.41,1015,1,1
54:06.1,21.48846358,-71.48182415,36.64281274,362.9206649,537.9173392,322.565219,23.68,39.87,63.41,1015.05,1,1
54:07.2,21.48996421,-71.47882557,36.64159397,362.9114106,537.9036854,322.5553829,23.68,39.87,63.41,1014.96,1,1
54:08.2,21.4874757,-71.48374413,36.64362221,362.9267397,537.9263955,322.5718744,23.68,39.87,63.41,1015.04,1,1
54:09.2,21.49093796,-71.47442607,36.64073548,362.8984295,537.8843973,322.5429824,23.68,39.87,63.41,1015,1,1
54:10.2,21.48701338,-71.48342391,36.64387384,362.9243437,537.9215394,322.5679273,23.68,39.87,63.41,1015.01,1,1
54:11.2,21.48978032,-71.47846291,36.64175014,362.9109402,537.9032912,322.5558798,23.68,39.87,63.41,1015.03,1,1
54:12.2,21.48881491,-71.48007229,36.64245837,362.9147021,537.9078843,322.5584786,23.68,39.87,63.41,1015.03,1,1
54:13.2,21.48879548,-71.48201269,36.64256557,362.9209445,537.9177208,322.5649144,23.68,39.87,63.41,1015.09,1,1
54:14.2,21.48998579,-71.48215815,36.6416967,362.9212977,537.9187583,322.5644921,23.68,39.87,63.41,1015.02,1,1
54:15.2,21.48836448,-71.48788568,36.64315324,362.93968,537.9469716,322.5842304,23.68,39.87,63.41,1015.01,1,1
54:16.1,21.490807,-71.47994696,36.64112916,362.9167788,537.9136425,322.5626853,23.68,39.87,63.41,1014.99,1,1
54:17.2,21.48889264,-71.47959557,36.64243236,362.9141308,537.9076192,322.5590679,23.68,39.87,63.41,1015.02,1,1
54:18.1,21.48924506,-71.47784251,36.64207456,362.9081666,537.8981698,322.5523283,23.68,39.87,63.41,1015.02,1,1
54:19.2,21.48829992,-71.48115317,36.64287453,362.9178843,537.9124708,322.5616579,23.68,39.87,63.41,1015.05,1,1
54:20.1,21.48941843,-71.48099733,36.64207503,362.9178586,537.9132485,322.5616319,23.68,39.87,63.41,1014.99,1,1
54:21.1,21.48832979,-71.48370548,36.64301362,362.9268185,537.9270302,322.571754,23.68,39.87,63.41,1015.04,1,1
54:22.2,21.49051356,-71.47751078,36.64117832,362.9079479,537.8989444,322.5524955,23.68,39.87,63.41,1015.02,1,1
54:23.1,21.48801798,-71.48320853,36.64316662,362.9242287,537.9221739,322.5680007,23.68,39.87,63.41,1015.01,1,1
54:24.2,21.48949639,-71.48052041,36.64204835,362.917287,537.9129844,322.5622213,23.68,39.87,63.41,1014.99,1,1
54:25.2,21.48889073,-71.47959736,36.642438,362.9141329,537.90761,322.5590668,23.68,39.87,63.41,1014.98,1,1
54:26.2,21.48879854,-71.47759514,36.64241619,362.9077985,537.8976415,322.5527319,23.68,39.87,63.41,1015.04,1,1
