Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult
38:05.9,-0.003737885,-0.000298018,0.011156164,0.014333397,0.002134036,-0.002895688,29.68,1.65,107.63,1008.07,1,1
38:06.9,10.7663111,-6.768415389,-7.666012197,10.19813937,12.20829046,-11.43092991,29.68,1.65,107.63,1008.05,1,1
38:07.9,-4.836994781,-93.84877159,51.13793296,383.0907814,532.9732998,310.0252973,29.68,1.65,107.63,1008.12,1,1
38:08.9,22.4027948,-83.90780176,31.97215284,374.0532423,546.8277235,318.7676137,29.68,1.65,107.63,1008.05,1,1
38:09.9,22.39600337,-83.91720805,31.97411948,374.0749987,546.8605311,318.7903386,29.68,1.65,107.63,1008.07,1,1
38:10.9,22.39904116,-83.90934194,31.97166063,374.052274,546.8277213,318.7685823,29.68,1.65,107.63,1008.11,1,1
38:11.9,22.39737234,-83.91244614,31.97289365,374.0596963,546.8370384,318.7738727,29.68,1.65,107.63,1008.08,1,1
38:12.9,22.39700019,-83.91613979,31.97335942,374.0719031,546.856323,318.787048,29.68,1.65,107.63,1008.06,1,1
38:13.9,22.3982461,-83.91247638,31.97236334,374.0617984,546.8420199,318.7781056,29.68,1.65,107.63,1008.04,1,1
38:14.9,22.39751921,-83.91064045,31.97279102,374.0555739,546.8316618,318.7716868,29.68,1.65,107.63,1008.08,1,1
38:15.9,22.3977211,-83.90906407,31.97253188,374.0498035,546.8222126,318.7647533,29.68,1.65,107.63,1008.09,1,1
38:16.9,22.3967466,-83.91346424,31.97339252,374.0627854,546.8414972,318.7771535,29.68,1.65,107.63,1008.08,1,1
38:18.0,22.39754176,-83.91397212,31.97289093,374.0654599,546.8467394,318.7807965,29.68,1.65,107.63,1008.13,1,1
38:18.9,22.39849958,-83.91314233,31.97214423,374.0626501,546.8426632,318.7772112,29.68,1.65,107.63,1008.11,1,1
38:19.9,22.3973129,-83.91826855,31.97321872,374.0784249,546.8665421,318.7931792,29.68,1.65,107.63,1008.08,1,1
38:20.9,22.39856891,-83.91545572,31.97226856,374.071298,546.8570929,318.7876023,29.68,1.65,107.63,1008.07,1,1
38:21.9,22.39835542,-83.91254053,31.97228487,374.0618931,546.8421407,318.7780032,29.68,1.65,107.63,1008.07,1,1
