Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult,TimeB,BaroB
47:30.1,0.004292452,0.004772725,-0.010608006,-0.030312301,-0.027097323,0.000953664,-28.63,37.63,53.67,1008.42,1,1,47:30.4,1009.09
47:30.9,-0.362978562,26.95991045,22.74725678,-17.63130717,-24.94400743,22.35368882,-27.58,37.33,53.22,1008.43,1,1,47:31.3,1009.1
47:31.8,495.7473548,241.2671797,45.07020086,200.1782619,455.2581419,400.7772532,-27.58,37.33,53.22,1008.46,1,1,47:32.4,1009.06
47:32.3,468.2345357,225.8391274,70.67412405,226.7462036,453.4030048,392.3131578,-28.48,38.08,54.86,1008.46,1,1,47:33.3,1009.1
47:33.1,468.2559589,225.9014368,70.68949484,226.6468979,453.3068635,392.4480946,-27.73,37.48,54.11,1008.47,1,1,47:34.3,1009.09
47:33.9,468.8282067,225.8482712,70.51463106,226.7141976,453.4004842,392.3060195,-28.48,38.08,54.86,1008.53,1,1,47:34.4,1009.09
47:34.8,468.5170736,225.9381327,70.6395589,226.670789,453.3710461,392.385406,-28.48,38.08,54.86,1008.46,1,1,47:35.3,1009.08
47:35.9,468.8878884,225.8915226,70.48843914,226.7027795,453.4928996,392.3911112,-26.68,38.08,54.86,1008.49,1,1,47:36.3,1009.08
47:36.9,468.784437,225.9292296,70.59534426,226.6372545,453.3317245,392.6355179,-26.68,38.08,54.86,1008.49,1,1,47:37.3,1009.01
47:37.9,468.6281949,225.9634616,70.69317111,226.6196154,453.2641302,392.6434955,-26.68,38.08,54.86,1008.46,-1,1,47:38.3,1009.03
47:38.9,468.6718757,225.9994639,70.67006427,226.5677737,453.2509862,392.6576264,-26.68,38.08,54.86,1008.5,-1,1,47:39.3,1009.06
47:39.9,468.023846,225.0187,70.03553327,226.5470403,453.4661773,392.6914982,-26.68,38.08,54.86,1008.52,-1,1,47:40.4,1009.04
47:40.9,468.0239092,225.0449433,70.04897397,226.5298234,453.446152,392.689786,-26.68,38.08,54.86,1008.48,1,1,47:41.4,1009.06
47:41.8,468.0210224,225.0359495,70.0680277,226.5486249,453.4165103,392.6475222,-26.68,38.08,54.86,1008.5,1,1,47:42.4,1009.13
47:42.8,468.6361619,225.993418,70.70307471,226.5875186,453.2206875,392.6244081,-26.68,38.08,54.86,1008.48,1,1,47:43.3,1009.11
47:43.8,468.6634027,225.9752946,70.69124961,226.6297486,453.2879496,392.6608644,-26.68,38.08,54.86,1008.48,1,1,47:44.4,1009.07
47:44.8,468.6522577,225.9695035,70.6913598,226.626697,453.2784132,392.6525157,-26.68,38.08,54.86,1008.49,1,1,47:45.3,1009.06
47:45.9,468.653201,225.973865,70.69032095,226.6134581,453.2589394,392.6400229,-26.68,38.08,54.86,1008.49,1,1,47:46.3,1009.05
47:46.9,468.6588584,225.9783015,70.68969258,226.6089565,453.2543725,392.6375959,-26.68,38.08,54.86,1008.42,1,1,47:47.4,1009.09
47:47.9,468.6599563,225.9793891,70.68906774,226.6063247,453.2506209,392.6340416,-26.68,38.08,54.86,1008.48,1,1,47:48.3,1009.08
47:48.8,468.6250277,225.9535679,70.6891748,226.625571,453.2700991,392.6433189,-26.68,38.08,54.86,1008.45,1,1,47:49.3,1009.08
47:49.9,468.6544003,225.9733789,70.68925192,226.6157439,453.2641473,392.6431955,-26.68,38.08,54.86,1008.5,1,1,47:50.3,1009.07
47:50.9,468.6390293,225.963887,70.6898957,226.6192991,453.2642371,392.6418736,-26.68,38.08,54.86,1008.49,1,1,47:51.3,1009.09
47:51.8,468.6639103,225.9812017,70.69023575,226.6104717,453.2584998,392.6417489,-26.68,38.08,54.86,1008.52,1,1,47:52.3,1009.12
47:52.8,468.6584888,225.976545,70.69153211,226.6181016,453.2679774,392.6480948,-26.68,38.08,54.86,1008.47,1,1,47:53.3,1009.05
47:53.8,468.6722933,225.9812042,70.6911236,226.6255007,453.283391,392.658037,-26.68,38.08,54.86,1008.52,1,1,47:54.4,1009.09
47:54.8,468.6480575,225.9731783,70.69120754,226.6084655,453.248825,392.6336259,-26.68,38.08,54.86,1008.52,1,1,47:55.4,1009.1
47:55.9,468.6735314,225.9861152,70.69115864,226.6144755,453.2677115,392.6498591,-26.68,38.08,54.86,1008.52,1,1,47:56.3,1009.11
47:56.8,468.6723073,225.984539,70.69249207,226.6187976,453.2724915,392.6527764,-26.68,38.08,54.86,1008.51,1,1,47:57.3,1009.1
47:57.8,468.6720002,225.9831508,70.69252786,226.6222307,453.2775348,392.6556841,-26.68,38.08,54.86,1008.49,1,1,47:58.3,1009.08
47:59.1,468.6671363,225.9803856,70.69188909,226.6205118,453.2732783,392.6514607,-26.68,38.08,54.86,1008.48,1,1,47:59.3,1009.1
47:59.8,468.6581956,225.9765024,70.6911643,226.6159455,453.2638911,392.6441158,-26.68,38.08,54.86,1008.49,1,1,48:00.4,1009.15
48:01.1,468.6538483,225.9725326,70.69151557,226.6223894,453.2731755,392.6506251,-26.68,38.08,54.86,1008.48,1,1,48:01.3,1009.11
48:01.8,468.6575312,225.9696662,70.69195987,226.6375952,453.2975963,392.6664842,-26.68,38.08,54.86,1008.46,1,1,48:02.4,1009.11
48:02.9,468.6524092,225.9698502,70.69173998,226.6267737,453.2783403,392.6526591,-26.68,38.08,54.86,1008.47,1,1,48:03.4,1009.09
48:03.9,468.6432966,225.9637322,70.6907306,226.6283204,453.2788831,392.6517018,-26.68,38.08,54.86,1008.46,1,1,48:04.4,1009.11
48:04.9,468.6488185,225.9693252,70.69045874,226.6205976,453.2689215,392.6460583,-26.68,38.08,54.86,1008.44,1,1,48:05.4,1009.08
48:05.8,468.6439297,225.9635522,70.68986428,226.6283456,453.2796304,392.6514234,-26.68,38.08,54.86,1008.44,1,1,48:06.4,1009.07
48:06.9,468.6342939,225.9599833,70.68918122,226.6209711,453.2652051,392.6405543,-26.68,38.08,54.86,1008.43,1,1,48:07.3,1009.09
48:07.9,468.6353697,225.961681,70.68851977,226.6171696,453.2604903,392.6376885,-26.68,38.08,54.86,1008.44,1,1,48:08.3,1009.05
48:08.8,468.6300626,225.9559795,70.68822191,226.6246009,453.270583,392.6432624,-26.68,38.08,54.86,1008.44,1,1,48:09.3,1009.09
